Date,Open,High,Low,Close,Adj Close,Volume
2015-09-08,114.559998,115.570000,114.110001,115.449997,107.813644,29916300
2015-09-09,116.169998,116.419998,114.010002,114.120003,106.571617,40963000
2015-09-10,113.750000,115.279999,113.730003,114.639999,107.057220,29877900
2015-09-11,114.160004,115.199997,113.660004,115.180000,107.561501,27949400
2015-09-14,115.519997,115.540001,114.430000,114.650002,107.066559,22365800
2015-09-15,114.860001,116.190002,114.730003,115.940002,108.271225,26745300
2015-09-16,115.949997,117.019997,115.790001,116.940002,109.205101,27127800
2015-09-17,116.919998,118.889999,116.680000,117.339996,109.578644,50405400
2015-09-18,115.760002,116.839996,115.400002,115.720001,108.065796,42736100
2015-09-21,116.540001,117.300003,115.080002,115.510002,107.869675,33021700
2015-09-22,114.449997,114.730003,113.050003,113.760002,106.235428,35786900
2015-09-23,114.019997,114.419998,113.070000,113.419998,105.917931,25506800
2015-09-24,112.790001,113.419998,111.870003,113.230003,105.740501,39810300
2015-09-25,113.820000,113.910004,110.930000,111.419998,104.348785,43750300
2015-09-28,111.050003,111.150002,107.879997,108.300003,101.426796,56765300
2015-09-29,108.250000,109.110001,106.989998,107.529999,100.705673,49980700
2015-09-30,108.480003,109.430000,107.910004,109.199997,102.269691,50834500
2015-10-01,109.370003,109.680000,107.430000,109.010002,102.091743,44985900
2015-10-02,107.980003,110.629997,107.120003,110.629997,103.608925,58019200
2015-10-05,111.660004,113.449997,111.540001,113.269997,106.081398,45220500
2015-10-06,113.209999,113.669998,111.779999,112.489998,105.350891,34140000
2015-10-07,113.099998,114.500000,112.629997,114.480003,107.214584,36371000
2015-10-08,114.379997,115.750000,113.949997,115.510002,108.179230,43072200
2015-10-09,115.720001,116.139999,115.400002,115.739998,108.394615,26497200
2015-10-12,115.790001,115.989998,115.070000,115.570000,108.235428,22984000
2015-10-13,115.110001,116.300003,113.930000,113.989998,106.755684,37445300
2015-10-14,114.040001,114.750000,112.709999,112.870003,105.706779,39987400
2015-10-15,113.190002,115.570000,112.660004,115.570000,108.235428,42503400
2015-10-16,115.800003,115.800003,114.430000,115.419998,108.094917,33685600
2015-10-19,114.900002,116.209999,114.650002,115.639999,108.300995,24949500
2015-10-20,115.580002,116.300003,115.029999,115.480003,108.151131,20531400
2015-10-21,115.919998,115.980003,113.650002,113.720001,106.502831,34060300
2015-10-22,114.410004,115.419998,113.730003,114.720001,107.439362,36882600
2015-10-23,115.650002,116.050003,114.730003,115.849998,108.497635,40172500
2015-10-26,115.599998,115.870003,114.930000,115.059998,107.757797,19783300
2015-10-27,114.589996,114.870003,113.099998,113.800003,106.577751,38189200
2015-10-28,114.139999,117.139999,113.919998,117.120003,109.687050,65529900
2015-10-29,116.739998,117.110001,115.559998,115.870003,108.516380,27252000
2015-10-30,115.559998,116.029999,115.080002,115.339996,108.020004,28018700
2015-11-02,115.449997,118.070000,115.419998,117.739998,110.267693,33836900
2015-11-03,117.589996,119.029999,117.389999,118.349998,110.838997,28626300
2015-11-04,118.650002,119.000000,117.690002,118.290001,110.782806,25696000
2015-11-05,118.239998,118.599998,117.089996,118.379997,110.867073,27141300
2015-11-06,118.010002,119.360001,117.290001,119.220001,111.653770,35141300
2015-11-09,119.070000,119.290001,117.269997,117.820000,110.342613,32983100
2015-11-10,117.320000,118.169998,116.959999,118.169998,110.670418,21892200
2015-11-11,118.309998,118.339996,117.080002,117.139999,109.705788,22037600
2015-11-12,116.330002,116.489998,114.730003,114.900002,107.607948,39916100
2015-11-13,114.440002,115.339996,113.660004,114.070000,106.830620,43883000
2015-11-16,113.959999,115.089996,113.360001,115.050003,107.748421,28979100
2015-11-17,115.150002,116.150002,114.449997,114.610001,107.336342,34441000
2015-11-18,114.930000,116.650002,114.519997,116.550003,109.153236,35554300
2015-11-19,116.440002,116.650002,115.739998,116.059998,108.694321,25512500
2015-11-20,116.480003,117.360001,116.379997,116.809998,109.396721,31697700
2015-11-23,116.709999,117.889999,116.680000,117.389999,109.939911,22716400
2015-11-24,116.879997,118.419998,116.559998,118.250000,110.745323,24994500
2015-11-25,118.300003,119.320000,118.110001,119.169998,111.606956,20772600
2015-11-27,119.269997,119.900002,118.879997,119.620003,112.028389,14129300
2015-11-30,120.019997,120.070000,119.050003,119.099998,111.541389,30165400
2015-12-01,119.610001,119.910004,118.900002,119.889999,112.281235,27899900
2015-12-02,119.730003,120.040001,118.449997,118.599998,111.073112,22238300
2015-12-03,118.930000,119.449997,116.139999,116.599998,109.200050,39485400
2015-12-04,116.599998,117.930000,116.339996,117.779999,110.305176,32669900
2015-12-07,117.639999,117.669998,115.510002,116.010002,108.647476,29621400
2015-12-08,114.959999,116.010002,114.459999,115.370003,108.048126,30946000
2015-12-09,115.029999,116.169998,113.599998,114.080002,106.839981,41980400
2015-12-10,113.889999,115.080002,113.650002,114.459999,107.195854,31278800
2015-12-11,113.269997,113.339996,111.529999,111.910004,104.807693,52609300
2015-12-14,111.870003,112.379997,110.279999,111.110001,104.058479,53400400
2015-12-15,111.730003,112.959999,111.599998,112.709999,105.556931,48273900
2015-12-16,113.489998,114.650002,112.830002,114.430000,107.167763,44560600
2015-12-17,114.910004,114.940002,112.970001,113.209999,106.025177,41318000
2015-12-18,112.660004,112.889999,111.440002,111.480003,104.404999,49876600
2015-12-21,112.169998,112.629997,111.500000,112.320000,105.191681,26479300
2015-12-22,112.639999,113.519997,111.790001,113.349998,106.156334,28108700
2015-12-23,113.919998,114.959999,113.730003,114.779999,107.495552,29609700
2015-12-24,114.440002,115.160004,114.150002,114.500000,107.698738,13370500
2015-12-28,113.980003,114.070000,112.959999,113.970001,107.200211,22125500
2015-12-29,114.480003,115.290001,114.070000,115.199997,108.357140,22841500
2015-12-30,115.050003,115.349998,114.000000,114.040001,107.266068,21273200
2015-12-31,113.559998,113.970001,112.510002,112.620003,105.930397,39517700
2016-01-04,110.610001,110.830002,109.080002,110.010002,103.475426,66665900
2016-01-05,110.410004,110.580002,109.550003,110.250000,103.701180,28253300
2016-01-06,108.699997,109.599998,108.000000,108.570000,102.120964,35569200
2016-01-07,106.720001,107.500000,105.489998,105.669998,99.393234,52482000
2016-01-08,105.870003,106.489998,103.660004,103.849998,97.681328,60299300
2016-01-11,104.209999,104.779999,102.309998,103.400002,97.258080,47144800
2016-01-12,104.220001,104.989998,101.940002,103.709999,97.549652,53702900
2016-01-13,103.910004,104.419998,99.650002,100.379997,94.417450,70591600
2016-01-14,100.860001,102.709999,99.190002,101.769997,95.724884,69373400
2016-01-15,99.080002,100.290001,97.510002,100.120003,94.172890,85759200
2016-01-19,101.070000,101.199997,97.739998,98.769997,92.903084,51391100
2016-01-20,97.430000,100.330002,95.059998,99.180000,93.288742,94385800
2016-01-21,99.330002,100.910004,98.379997,98.949997,93.072380,65798200
2016-01-22,100.650002,101.610001,100.129997,101.370003,95.348671,46056700
2016-01-25,100.739998,101.080002,98.849998,99.120003,93.232292,35019600
2016-01-26,99.519997,101.400002,99.180000,101.099998,95.094696,33349600
2016-01-27,100.589996,101.589996,99.059998,99.709999,93.787254,47973900
2016-01-28,100.550003,100.949997,99.220001,99.690002,93.768456,41951100
2016-01-29,100.040001,102.980003,99.959999,102.959999,96.844185,42245300
2016-02-01,102.139999,103.089996,101.250000,102.489998,96.402122,33615700
2016-02-02,101.330002,101.470001,99.769997,100.279999,94.323395,39692700
2016-02-03,101.059998,101.070000,98.139999,100.410004,94.445663,55262500
2016-02-04,100.000000,101.970001,99.970001,100.800003,94.812515,51188400
2016-02-05,100.349998,100.440002,97.959999,98.040001,92.216454,53366600
2016-02-08,97.010002,97.010002,94.940002,96.430000,90.702065,61107700
2016-02-09,95.129997,97.129997,95.019997,95.779999,90.090683,55857200
2016-02-10,96.449997,97.919998,95.680000,95.830002,90.137718,42756100
2016-02-11,94.080002,95.400002,93.639999,94.790001,89.159477,57923200
2016-02-12,95.660004,96.790001,95.190002,96.589996,90.852585,40097300
2016-02-16,97.790001,99.099998,97.220001,98.879997,93.006554,38882100
2016-02-17,99.570000,101.089996,99.529999,100.430000,94.464485,40940400
2016-02-18,100.510002,100.639999,99.540001,99.949997,94.012993,35043600
2016-02-19,99.559998,100.559998,99.110001,100.449997,94.483284,32424800
2016-02-22,101.339996,102.010002,101.239998,101.570000,95.536758,28867400
2016-02-23,101.239998,101.489998,100.550003,100.639999,94.662010,29857100
2016-02-24,99.620003,101.820000,98.970001,101.610001,95.574387,36909600
2016-02-25,101.790001,102.599998,101.389999,102.540001,96.449150,22612600
2016-02-26,103.059998,103.470001,102.699997,103.190002,97.060555,27474700
2016-02-29,103.129997,104.029999,102.720001,102.730003,96.627869,32014400
2016-03-01,103.620003,104.940002,103.070000,104.940002,98.706596,36422700
2016-03-02,104.790001,106.089996,104.589996,106.019997,99.722443,24937100
2016-03-03,106.050003,107.150002,105.919998,107.129997,100.766502,28216300
2016-03-04,107.070000,108.320000,106.669998,107.720001,101.321465,38180900
2016-03-07,107.209999,108.989998,107.209999,108.889999,102.421959,38739900
2016-03-08,108.290001,108.290001,106.139999,106.260002,99.948174,46193900
2016-03-09,106.620003,107.010002,106.070000,106.800003,100.456100,25627200
2016-03-10,107.099998,107.489998,104.809998,105.930000,99.637787,47051200
2016-03-11,106.790001,108.330002,106.660004,108.199997,101.772934,33625000
2016-03-14,107.870003,108.339996,107.400002,107.919998,101.509567,24422700
2016-03-15,107.209999,107.279999,106.029999,106.239998,99.929367,34258400
2016-03-16,105.730003,107.330002,105.730003,106.989998,100.634819,37952200
2016-03-17,106.989998,109.099998,106.330002,108.629997,102.177406,41724500
2016-03-18,108.769997,109.949997,108.699997,109.610001,103.099182,36512600
2016-03-21,109.440002,109.940002,109.080002,109.349998,102.854630,29903700
2016-03-22,108.779999,109.690002,108.470001,109.220001,102.732353,23602100
2016-03-23,108.540001,108.589996,106.800003,106.879997,100.833221,39243300
2016-03-24,106.239998,107.220001,105.739998,107.199997,101.135139,30924300
2016-03-28,107.430000,107.779999,106.550003,107.330002,101.257790,21096400
2016-03-29,107.040001,110.339996,106.769997,110.309998,104.069191,46761100
2016-03-30,110.889999,111.120003,110.050003,110.320000,104.078629,35683500
2016-03-31,110.480003,111.169998,110.339996,110.629997,104.371063,28555900
2016-04-01,109.610001,111.220001,109.480003,111.120003,104.833374,29981400
2016-04-04,110.910004,111.320000,110.099998,110.190002,103.955986,21529400
2016-04-05,109.370003,109.860001,108.839996,108.940002,102.776688,32515800
2016-04-06,108.930000,110.269997,108.589996,110.169998,103.937119,28157800
2016-04-07,109.370003,109.879997,108.129997,108.680000,102.531410,33298400
2016-04-08,109.610001,110.070000,108.629997,109.110001,102.937080,26151700
2016-04-11,109.739998,110.550003,108.750000,108.769997,102.616318,25842100
2016-04-12,108.790001,110.180000,108.430000,109.940002,103.720131,25058700
2016-04-13,110.580002,112.430000,110.510002,112.309998,105.956039,40534700
2016-04-14,112.260002,112.699997,111.879997,112.169998,105.823952,25538600
2016-04-15,111.900002,112.629997,111.860001,112.449997,106.088104,21176100
2016-04-18,111.980003,113.389999,111.870003,113.300003,106.890030,19428300
2016-04-19,113.510002,114.129997,112.889999,113.389999,106.974953,23228100
2016-04-20,113.389999,114.209999,112.970001,113.559998,107.135330,21422500
2016-04-21,113.470001,113.919998,112.660004,112.989998,106.597565,20535700
2016-04-22,112.980003,114.190002,112.980003,114.110001,107.654182,29094500
2016-04-25,113.800003,113.910004,112.809998,113.300003,106.890030,16369600
2016-04-26,113.669998,114.529999,113.169998,114.410004,107.937241,30564100
2016-04-27,114.480003,115.050003,113.900002,114.809998,108.314583,24360300
2016-04-28,114.269997,115.000000,113.190002,113.500000,107.078720,26126500
2016-04-29,113.010002,113.459999,111.720001,112.480003,106.116432,33284500
