id,date,operation,tick,price,quantity,realized_gain
1,2020-12-01,buy,SE,179.15,20,0
2,2020-12-01,buy,AES,20.65,200,0
3,2020-12-01,buy,BIDU,139.28,20,0
4,2020-12-02,sell,AES,20.34,200,-62
5,2020-12-03,buy,GRBK,21.96,177,0
6,2020-12-03,buy,MSFT,214.96,15,0
7,2020-12-04,sell,SE,197,16,285.6
8,2020-12-07,buy,MSI,171.46,23,0
9,2020-12-08,sell,MSI,169.18,23,-52.44
10,2020-12-08,buy,EL,247,15,0
11,2020-12-09,sell,SE,207.37,4,112.92
12,2020-12-09,sell,MSFT,211.82,15,-47.1
13,2020-12-11,buy,STNE,74.69,35,0
14,2020-12-11,buy,COUP,317.58,10,0
15,2020-12-11,sell,BIDU,160,20,414.4
16,2020-12-17,sell,COUP,348.41,7,215.81
17,2020-12-17,sell,EL,260.53,10,135.3
18,2020-12-17,sell,GRBK,23.92,141,276.36
19,2020-12-17,buy,PCG,12.24,200,0
20,2020-12-17,buy,LILAK,11.63,200,0
21,2020-12-17,sell,STNE,81.36,20,133.4
22,2020-12-21,sell,EL,252.25,5,26.25
23,2020-12-21,sell,LILAK,11.1,200,-106
24,2020-12-21,sell,PCG,12.09,200,-28
25,2020-12-21,buy,CHTR,656.26,6,0
26,2020-12-21,buy,FITB,27.16,125,0
27,2020-12-22,sell,CHTR,644.88,6,-68.28
28,2020-12-22,buy,CSX,89.87,35,0
29,2020-12-28,sell,COUP,343.71,3,78.39
30,2020-12-29,sell,STNE,81.86,15,107.55
31,2020-12-29,sell,GRBK,23.02,36,38.16
32,2020-12-30,buy,NOW,548.92,8,0
33,2021-01-04,sell,NOW,533.18,8,-125.92
34,2021-01-04,sell,CSX,88.72,35,-40.25
35,2021-01-04,sell,FITB,27.05,125,-13.75
36,2021-01-05,buy,SQ,220.82,18,0
37,2021-01-05,buy,SE,198.98,20,0
38,2021-01-06,buy,HHC,79.24,50,0
39,2021-01-07,sell,SQ,238.27,15,261.75
40,2021-01-07,sell,SQ,239.63,3,56.43
41,2021-01-07,buy,LULU,367.58,15,0
42,2021-01-08,buy,TEAM,232.56,25,0
43,2021-01-11,sell,LULU,356.98,15,-159
44,2021-01-12,sell,HHC,83.51,40,170.8
45,2021-01-12,sell,SE,217.80,16,301.12
46,2021-01-12,buy,AER,46.29,60,0
47,2021-01-12,buy,COUP,348.30,15,0
48,2021-01-13,sell,SE,223.00,4,96.08
49,2021-01-13,sell,TEAM,228.08,25,-112
50,2021-01-13,sell,AER,44.21,60,-124.8
51,2021-01-13,sell,HHC,81.96,10,27.2
52,2021-01-15,buy,DELL,73.39,60,0
53,2021-01-15,sell,COUP,332.04,15,-243.9
54,2021-01-19,buy,SHOP,1184.67,2,0
55,2021-01-19,buy,NET,80.87,25,0
56,2021-01-20,sell,DELL,77.02,60,220.2
57,2021-01-20,buy,SHOP,1199.78,2,0
58,2021-01-21,buy,NET,82.60,10,0
59,2021-01-25,sell,NET,78.78,35,-90.3
60,2021-01-26,buy,SPOT,337.19,12,0
61,2021-01-27,sell,SHOP,1121.26,4,-286.86
62,2021-01-27,sell,SPOT,326.42,12,-129.24
63,2021-02-04,buy,AAPL,135.93,22,0
64,2021-02-04,buy,MU,81.18,50,0
